source,listing_id,title,price_amount,currency,price_period,district,rooms,area_sqm,floor,total_floors,retrieved_at,location_raw,city,exchange_rate_requested_date,exchange_rate_date,exchange_rate_to_amd,price_amd
list.am,23091499,"5 սենյականոց բնակարան նորակառույց շենքում Սասնա Ծռերի փողոցում Դավթաշենում, 224 քմ, 2 սանհանգույց",3000.0,USD,monthly,Davtashen,5,224.0,18,18,2026-08-19 13:04:03.116499+00:00,Դավթաշեն,Yerevan,2026-08-19,2026-08-19,364.96,1094880.0
list.am,24057155,"Ընդարձակ 3 սենյականոց բնակարան նորակառույց շենքում Եկմալյան փողոցում կենտրոնում, 300 քմ",3500.0,USD,monthly,Kentron,3,300.0,12,12,2026-08-19 13:03:38.413540+00:00,Կենտրոն,Yerevan,2026-08-19,2026-08-19,364.96,1277360.0
list.am,22614268,"4 սենյականոց բնակարան նորակառույց շենքում Ալեք Մանուկյան փողոցում կենտրոնում, 135 քմ, 7/11 հարկ",550000.0,AMD,monthly,Kentron,4,135.0,7,11,2026-08-19 13:04:03.116499+00:00,Կենտրոն,Yerevan,2026-08-19,2026-08-19,1.0,550000.0
list.am,24052359,"3 սենյականոց բնակարան նորակառույց շենքում Կարապետ Ուլնեցու փողոցում Քանաքեռ-Զեյթունում, 110 քմ",700000.0,AMD,monthly,Kanaker-Zeytun,3,110.0,15,16,2026-08-19 13:04:03.116499+00:00,Քանաքեռ-Զեյթուն,Yerevan,2026-08-19,2026-08-19,1.0,700000.0
list.am,24103279,"3 room apartment in Sayat-Nova District in Avan, 80 sq.m., 1/9 floor",1000.0,USD,monthly,Avan,3,80.0,1,9,2026-08-19 12:52:15.955691+00:00,Avan,Yerevan,2026-08-19,2026-08-19,364.96,364960.0
list.am,24117787,"4 սենյականոց բնակարան նորակառույց շենքում Կարապետ Ուլնեցու փողոցում Քանաքեռ-Զեյթունում, 132 քմ",2800.0,USD,monthly,Kanaker-Zeytun,4,132.0,15,16,2026-08-19 13:04:03.116499+00:00,Քանաքեռ-Զեյթուն,Yerevan,2026-08-19,2026-08-19,364.96,1021888.0
list.am,24111699,"2 սենյականոց բնակարան նորակառույց շենքում Ադոնցի փողոցում Արաբկիրում, 56 քմ, նախավերջին հարկ",420000.0,AMD,monthly,Arabkir,2,56.0,7,8,2026-08-19 13:04:03.116499+00:00,Արաբկիր,Yerevan,2026-08-19,2026-08-19,1.0,420000.0
list.am,18704103,"2 սենյականոց բնակարան նորակառույց շենքում Սեբաստիայի փողոցում Մալաթիա-Սեբաստիայում, 45 քմ, 3/5 հարկ",260000.0,AMD,monthly,Malatia-Sebastia,2,45.0,3,5,2026-08-19 13:04:03.116499+00:00,Մալաթիա-Սեբաստիա,Yerevan,2026-08-19,2026-08-19,1.0,260000.0
list.am,24115013,"4 սենյականոց բնակարան Արմեն Գուլակյան փողոցում Արաբկիրում, 135 քմ, 2/5 հարկ, քարե շենք",1000.0,USD,monthly,Arabkir,4,135.0,2,5,2026-08-19 13:00:34.544074+00:00,Արաբկիր,Yerevan,2026-08-19,2026-08-19,364.96,364960.0
list.am,23907177,"4 սենյականոց բնակարան Հին երևանցու փողոցում կենտրոնում, 93 քմ, 4/11 հարկ, 2 սանհանգույց",800000.0,AMD,monthly,Kentron,4,93.0,4,11,2026-08-19 13:00:34.544074+00:00,Կենտրոն,Yerevan,2026-08-19,2026-08-19,1.0,800000.0
